Unitary,Order,Coefficient
0,3,-0.00015070894573701913
0,3,-0.00012823680015011462
0,3,-0.00013092212702001295
0,3,-8.959896261314274e-05
0,3,-0.0001431565063806885
0,3,-0.00010719971891766592
0,3,-0.00010659504414712654
0,3,-0.0001029127866887778
0,3,-0.00013706148870151215
0,3,-0.0001564081805857836
0,3,-0.00012187985757854976
0,3,-0.00011824568884410343
0,3,-9.53188234256486e-05
0,3,-9.24476038508333e-05
0,3,-9.160936242295139e-05
0,3,-7.40966394665819e-05
0,3,-8.975176675695752e-05
0,3,-8.525585922436278e-05
0,3,-7.168099378397421e-05
0,3,-0.0001004184098299881
0,3,-0.00011856101988795922
0,3,-8.725735719429845e-05
0,3,-8.895581056920664e-05
0,3,-7.946662424561864e-05
0,3,-9.842863663733829e-05
0,3,-0.0001066700882962689
0,3,-0.00012535239859281323
0,3,-8.390638254952552e-05
0,3,-7.705818027212505e-05
0,3,-0.0001031240194403544
0,3,-9.139064594744669e-05
0,3,-0.0001263770455414306
0,3,-8.282031271096893e-05
0,3,-7.693950659429751e-05
0,3,-9.570630592675011e-05
0,3,-0.00010307418734656088
0,3,-7.025799064958166e-05
0,3,-8.426182441274605e-05
0,3,-0.00011894944061132962
0,3,-8.475895709225971e-05
0,3,-0.00012752941742101434
0,3,-0.0001316731399295982
0,3,-0.0001155948233765497
0,3,-0.00016346493876797437
0,3,-0.00011672292218694799
0,3,-0.00011755416626843654
0,3,-0.0001577590031314004
0,3,-0.00010267777617293579
0,3,-0.00014868631125383573
0,3,-0.00012970447827095492
0,3,-0.00013369034886569957
0,3,-0.00011620307708575423
0,3,-0.00010060075902757173
0,3,-0.0001677884314923341
0,3,-0.00013148904903147803
0,3,-0.00015545337902898382
0,3,-0.00012696344014327638
0,3,-0.00011123386208123718
0,3,-0.00011711357218385034
0,3,-0.00010945120278606549
0,3,-0.00011060101485741862
0,3,-8.800437495757742e-05
0,3,-0.00011639593525607217
0,3,-0.00011778847719805523
0,3,-0.0001155286749782907
0,3,-0.0001462870082659488
0,3,-0.000143405733656917
0,3,-9.494773580970539e-05
0,3,-0.0001206441324162781
0,3,-0.00012070696544825275
0,3,-0.00015062288632940662
0,3,-0.00011328876213688715
0,3,-0.00011804545458749964
0,3,-0.00013354481180069923
0,3,-8.852625070270435e-05
0,3,-0.00013521494703753144
0,3,-0.00010197368988345515
0,3,-0.00011591247362043082
0,3,-0.00013330438117240998
0,3,-0.00013571349996421768
0,3,-0.00012041398414977211
0,3,-0.00011784438812669878
0,3,-0.00012480681889562198
0,3,-0.00013080182557301758
0,3,-0.0001056613519659746
0,3,-0.0001407751128212081
0,3,-0.0001292957943441674
0,3,-9.61285915133238e-05
0,3,-0.00010352054982988809
0,3,-0.00011415934045485898
0,3,-0.0001160222269772757
0,3,-0.00010206032224425521
0,3,-0.0001034287699159091
0,3,-0.00012000203338992591
0,3,-9.883538701745291e-05
0,3,-8.55361325274868e-05
0,3,-9.213192669669365e-05
0,3,-9.050037740371478e-05
0,4,4.0303345393771604e-05
0,4,3.551800557868257e-05
0,4,4.129579390263759e-05
0,4,4.8004559487936486e-05
0,4,3.8835248561730473e-05
0,4,4.902183200636485e-05
0,4,5.677903741682492e-05
0,4,4.227324743949585e-05
0,4,4.333770846232408e-05
